edad,sexo,Nivel_edu,size_localidad,Indigena,edu_madre,edu_padre,hermanos,ingreso,color_piel,region
49,2 Mujer,Técnica o comercial con preparatoria,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Preparatoria general,Secundaria general,2,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",J,Sur
33,1 Hombre,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,Primaria,,6,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Sur
29,2 Mujer,Técnica o comercial con preparatoria,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Profesional (licenciatura o ingeniería),,3,"Más de 5 salarios mínimos hasta 10 ($12,001 – $24,000)",H,Centro
35,2 Mujer,Secundaria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Secundaria general,Secundaria general,3,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",E,Norte
62,2 Mujer,Ninguno/no fue a la escuela,"Pueblo (menos de 2,500 habitantes)",Sí,,,5,"Menor a 1 salario mínimo ($0 – $2,399)",E,Sur
57,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,14,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Centro-norte
27,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,8,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",C,Centro-norte
41,2 Mujer,Primaria,Ciudad grande (entre 100 mil y 500 mil habitantes),Sí,,,12,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",H,Centro-norte
64,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,1,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Centro-norte
33,1 Hombre,Primaria,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Primaria,Primaria,7,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Centro-norte
45,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",Sí,Primaria,Primaria,11,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Sur
47,2 Mujer,Secundaria general,Metrópoli (más de 500 mil habitantes),No,Primaria,,2,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Norte
61,2 Mujer,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,Primaria,6,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Norte-occidente
25,2 Mujer,Secundaria técnica,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,Secundaria general,4,NS,G,Norte
52,1 Hombre,Profesional,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Secundaria general,Primaria,8,No quiso dar información,C,Sur
30,2 Mujer,Profesional,"Ciudad chica (entre 2,500 y 15 mil habitantes)",NS,,Primaria,3,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",J,Centro
30,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,3,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",F,Norte-occidente
59,1 Hombre,Profesional,Ciudad grande (entre 100 mil y 500 mil habitantes),No,,Primaria,10,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Centro-norte
33,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,Primaria,9,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",F,Norte
35,2 Mujer,Primaria,Metrópoli (más de 500 mil habitantes),No,,,11,"Menor a 1 salario mínimo ($0 – $2,399)",G,Norte
39,2 Mujer,Secundaria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",NS,,,5,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Norte-occidente
62,2 Mujer,Ninguno/no fue a la escuela,"Pueblo (menos de 2,500 habitantes)",No,,,1,"Menor a 1 salario mínimo ($0 – $2,399)",I,Sur
30,2 Mujer,Preparatoria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,Primaria,3,"Menor a 1 salario mínimo ($0 – $2,399)",I,Norte-occidente
45,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Secundaria general,5,No quiso dar información,H,Centro
50,2 Mujer,Profesional,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Profesional (licenciatura o ingeniería),Profesional (licenciatura o ingeniería),9,"Menor a 1 salario mínimo ($0 – $2,399)",K,Centro-norte
34,2 Mujer,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",Sí,,,10,"Menor a 1 salario mínimo ($0 – $2,399)",G,Sur
32,1 Hombre,Profesional,"Pueblo (menos de 2,500 habitantes)",No,Profesional (licenciatura o ingeniería),Preparatoria general,3,No quiso dar información,G,Sur
35,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,NS,Primaria,5,NS,G,Norte-occidente
39,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,,,9,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Norte-occidente
63,1 Hombre,Ninguno/no fue a la escuela,"Pueblo (menos de 2,500 habitantes)",No,,,10,"Igual a un salario mínimo ($2,400)",I,Norte-occidente
64,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",NS,,,3,"Menor a 1 salario mínimo ($0 – $2,399)",H,Centro
28,2 Mujer,Normal de licenciatura,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Primaria,Primaria,2,"Más de 5 salarios mínimos hasta 10 ($12,001 – $24,000)",G,Norte
64,2 Mujer,Primaria,Ciudad mediana (entre 15 mil y 100 mil habitantes),NS,,,7,"Menor a 1 salario mínimo ($0 – $2,399)",H,Centro-norte
39,2 Mujer,Técnica o comercial con secundaria,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,2,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",F,Centro-norte
37,1 Hombre,Preparatoria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Primaria,Primaria,6,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Centro-norte
39,1 Hombre,Secundaria general,"Pueblo (menos de 2,500 habitantes)",NS,,,4,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",F,Norte
40,1 Hombre,Ninguno/no fue a la escuela,"Pueblo (menos de 2,500 habitantes)",Sí,,,3,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Sur
58,2 Mujer,Ninguno/no fue a la escuela,"Pueblo (menos de 2,500 habitantes)",No,,,7,"Igual a un salario mínimo ($2,400)",H,Sur
49,2 Mujer,Secundaria técnica,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,,,9,"Menor a 1 salario mínimo ($0 – $2,399)",F,Norte-occidente
42,1 Hombre,Ninguno/no fue a la escuela,Metrópoli (más de 500 mil habitantes),No,,,6,NS,G,Norte
60,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,7,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Norte-occidente
50,1 Hombre,Primaria,"Pueblo (menos de 2,500 habitantes)",Sí,,,3,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",F,Centro
64,2 Mujer,Secundaria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,,Primaria,4,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",E,Centro
38,2 Mujer,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",Sí,Primaria,,8,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Sur
25,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",Sí,,,4,"Menor a 1 salario mínimo ($0 – $2,399)",F,Sur
37,2 Mujer,Secundaria general,Ciudad grande (entre 100 mil y 500 mil habitantes),NS,,,2,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Centro
64,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,,,9,"Igual a un salario mínimo ($2,400)",G,Centro-norte
41,1 Hombre,Preparatoria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Primaria,Primaria,7,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Norte
36,2 Mujer,Secundaria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,Primaria,5,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",H,Norte-occidente
62,1 Hombre,Primaria,"Pueblo (menos de 2,500 habitantes)",Sí,,,7,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",I,Centro
64,1 Hombre,Preparatoria técnica,"Pueblo (menos de 2,500 habitantes)",Sí,Primaria,Primaria,3,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Sur
44,1 Hombre,Preparatoria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Primaria,Primaria,6,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",H,Norte-occidente
44,2 Mujer,Secundaria técnica,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,9,"Menor a 1 salario mínimo ($0 – $2,399)",G,Norte-occidente
27,1 Hombre,Secundaria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Primaria,Primaria,4,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",E,Centro
35,2 Mujer,Preparatoria técnica,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,Primaria,2,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",H,Centro
64,2 Mujer,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,,11,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",J,Sur
28,1 Hombre,Profesional,"Pueblo (menos de 2,500 habitantes)",No,Profesional (licenciatura o ingeniería),Profesional (licenciatura o ingeniería),3,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Sur
58,1 Hombre,Primaria,"Pueblo (menos de 2,500 habitantes)",NS,,,5,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Norte-occidente
40,2 Mujer,Ninguno/no fue a la escuela,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,NS,,8,"Igual a un salario mínimo ($2,400)",C,Centro-norte
42,2 Mujer,Preparatoria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Primaria,Secundaria general,6,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Centro-norte
43,2 Mujer,Primaria,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,,,1,"Menor a 1 salario mínimo ($0 – $2,399)",H,Centro
34,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,16,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Centro-norte
45,2 Mujer,Secundaria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Secundaria general,,8,No quiso dar información,H,Centro-norte
37,2 Mujer,Secundaria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Secundaria general,Primaria,6,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",F,Centro-norte
60,2 Mujer,Secundaria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,,NS,12,NS,F,Norte-occidente
36,2 Mujer,Secundaria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,Primaria,4,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",E,Centro
43,2 Mujer,Secundaria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Primaria,Primaria,3,"Menor a 1 salario mínimo ($0 – $2,399)",G,Norte
33,2 Mujer,Secundaria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,,,12,"Igual a un salario mínimo ($2,400)",F,Sur
34,2 Mujer,Preparatoria general,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,3,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Norte
51,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,8,"Menor a 1 salario mínimo ($0 – $2,399)",G,Sur
50,1 Hombre,Secundaria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Profesional (licenciatura o ingeniería),Primaria,5,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Centro
50,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,10,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Centro-norte
58,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,6,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",F,Norte
42,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,Preparatoria general,9,"Igual a un salario mínimo ($2,400)",F,Centro-norte
26,1 Hombre,Preparatoria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,,Preparatoria general,1,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",J,Centro-norte
39,2 Mujer,Técnica o comercial con preparatoria,Metrópoli (más de 500 mil habitantes),No,Preparatoria técnica,Secundaria técnica,3,No quiso dar información,H,Centro
34,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,9,"Menor a 1 salario mínimo ($0 – $2,399)",E,Sur
43,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,5,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",I,Centro-norte
36,2 Mujer,Profesional,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,Secundaria general,4,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",I,Centro-norte
58,2 Mujer,Ninguno/no fue a la escuela,"Ciudad chica (entre 2,500 y 15 mil habitantes)",Sí,Primaria,,12,"Igual a un salario mínimo ($2,400)",H,Sur
37,1 Hombre,Profesional,Metrópoli (más de 500 mil habitantes),No,Primaria,Preparatoria general,3,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",G,Centro-norte
34,2 Mujer,Normal de licenciatura,"Pueblo (menos de 2,500 habitantes)",No,,,4,No quiso dar información,H,Sur
64,1 Hombre,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,,5,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",H,Norte-occidente
50,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,10,"Menor a 1 salario mínimo ($0 – $2,399)",F,Norte-occidente
48,1 Hombre,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,,10,"Igual a un salario mínimo ($2,400)",H,Centro-norte
51,2 Mujer,Técnica o comercial con preparatoria,"Pueblo (menos de 2,500 habitantes)",No,Preparatoria general,Secundaria general,10,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Centro
35,2 Mujer,Secundaria técnica,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,10,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Norte
64,2 Mujer,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,Primaria,9,"Igual a un salario mínimo ($2,400)",H,Sur
60,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,7,"Igual a un salario mínimo ($2,400)",G,Norte-occidente
28,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,,,4,NS,G,Sur
57,1 Hombre,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,7,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Centro
25,2 Mujer,Preparatoria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),NS,,Preparatoria general,2,No quiso dar información,I,Centro
58,1 Hombre,Profesional,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,,12,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Sur
39,1 Hombre,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,5,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Norte-occidente
36,2 Mujer,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",Sí,Primaria,Primaria,5,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Sur
43,1 Hombre,Preparatoria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Secundaria general,Técnica o comercial con secundaria,3,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",I,Centro
49,2 Mujer,Ninguno/no fue a la escuela,"Pueblo (menos de 2,500 habitantes)",No,,,6,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",F,Sur
48,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,NS,7,"Igual a un salario mínimo ($2,400)",F,Norte
59,1 Hombre,Profesional,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Primaria,Primaria,9,"Más de 10 salarios mínimos ($24,001 o más)",H,Centro
41,1 Hombre,Preparatoria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Primaria,,6,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Norte
27,2 Mujer,Secundaria técnica,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Primaria,Primaria,4,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",H,Norte
40,2 Mujer,Preparatoria general,"Pueblo (menos de 2,500 habitantes)",Sí,Primaria,Primaria,5,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",E,Centro-norte
36,2 Mujer,Primaria,Ciudad grande (entre 100 mil y 500 mil habitantes),No,NS,Primaria,10,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",J,Centro-norte
34,2 Mujer,Profesional,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Profesional (licenciatura o ingeniería),Secundaria general,4,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Sur
56,1 Hombre,Secundaria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Primaria,Primaria,4,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Centro
47,2 Mujer,Preparatoria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,Primaria,3,No quiso dar información,F,Centro
58,1 Hombre,Preparatoria técnica,Metrópoli (más de 500 mil habitantes),No,Profesional (licenciatura o ingeniería),Primaria,6,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",G,Norte
42,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",Sí,,Primaria,3,"Igual a un salario mínimo ($2,400)",G,Sur
54,2 Mujer,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,,10,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",I,Centro-norte
50,1 Hombre,Secundaria técnica,"Pueblo (menos de 2,500 habitantes)",No,,,2,"Menor a 1 salario mínimo ($0 – $2,399)",G,Norte
52,2 Mujer,Técnica o comercial con preparatoria,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,7,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",F,Centro
58,1 Hombre,Profesional,"Pueblo (menos de 2,500 habitantes)",Sí,,,21,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",D,Centro
39,1 Hombre,Preparatoria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,,,4,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",F,Centro
43,1 Hombre,Preparatoria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),Sí,,,1,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",I,Norte
64,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,8,"Menor a 1 salario mínimo ($0 – $2,399)",G,Centro
36,2 Mujer,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,,4,"Menor a 1 salario mínimo ($0 – $2,399)",G,Norte
40,1 Hombre,Primaria,Ciudad grande (entre 100 mil y 500 mil habitantes),No,,,10,No quiso dar información,H,Norte-occidente
45,2 Mujer,Secundaria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Primaria,Primaria,3,"Igual a un salario mínimo ($2,400)",F,Centro-norte
45,1 Hombre,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,6,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",F,Norte
42,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,9,"Igual a un salario mínimo ($2,400)",H,Centro-norte
38,2 Mujer,Secundaria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,,Primaria,8,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",J,Norte-occidente
45,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",Sí,,,8,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",F,Centro-norte
40,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,7,"Igual a un salario mínimo ($2,400)",H,Sur
45,2 Mujer,Ninguno/no fue a la escuela,"Pueblo (menos de 2,500 habitantes)",No,,,4,"Igual a un salario mínimo ($2,400)",E,Sur
27,2 Mujer,Secundaria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,Primaria,3,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",H,Norte
25,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,3,"Igual a un salario mínimo ($2,400)",D,Sur
43,2 Mujer,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",Sí,,NS,5,"Menor a 1 salario mínimo ($0 – $2,399)",F,Sur
31,1 Hombre,Profesional,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Secundaria técnica,Secundaria general,3,"Igual a un salario mínimo ($2,400)",H,Norte-occidente
38,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,,,4,"Menor a 1 salario mínimo ($0 – $2,399)",F,Norte-occidente
46,2 Mujer,Ninguno/no fue a la escuela,"Pueblo (menos de 2,500 habitantes)",Sí,,NS,9,"Menor a 1 salario mínimo ($0 – $2,399)",H,Sur
34,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",Sí,Primaria,Primaria,9,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Centro-norte
62,1 Hombre,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,,3,"Menor a 1 salario mínimo ($0 – $2,399)",G,Norte-occidente
44,2 Mujer,Ninguno/no fue a la escuela,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,Primaria,5,No quiso dar información,G,Sur
29,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",Sí,,,8,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Centro
33,1 Hombre,Profesional,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Profesional (licenciatura o ingeniería),Profesional (licenciatura o ingeniería),2,"Más de 5 salarios mínimos hasta 10 ($12,001 – $24,000)",I,Norte-occidente
