Variable,Clave,Etiqueta,valor en la herramienta,categorías,Signo 
25,factor(p151)2 ,color de piel,2,menos oscuro el más oscuro,POS
25,factor(p151)3 ,color de piel,3,oscuro,POS
25,factor(p151)4 ,color de piel,4,oscuro-media,POS
25,factor(p151)5 ,color de piel,5,medio-oscuro,POS
25,factor(p151)6 ,color de piel,6,media,POS
25,factor(p151)7 ,color de piel,7,medio-claro,POS
25,factor(p151)8 ,color de piel,8,claro-media,POS
25,factor(p151)9 ,color de piel,9,claro,POS
25,factor(p151)10 ,color de piel,10,poco menos que el más claro,POS
26,factor(p151)11 ,color de piel,11,el más claro,POS
26,factor(region)2 ,region,2,Norte-occidente,NEG
26,factor(region)3 ,region,3,Centro-norte,NEG
26,factor(region)4 ,region,4,Centro,POS
27,factor(region)5 ,region,5,Sur,NEG
27,factor(escolaridadh)1 ,Años estudiados,.,1,NEG
27,factor(escolaridadh)2 ,Años estudiados,.,2,NEG
27,factor(escolaridadh)3 ,Años estudiados,.,3,NEG
27,factor(escolaridadh)4 ,Años estudiados,.,4,POS
27,factor(escolaridadh)5 ,Años estudiados,.,5,POS
27,factor(escolaridadh)6 ,Años estudiados,.,6,POS
27,factor(escolaridadh)7 ,Años estudiados,.,7,POS
27,factor(escolaridadh)8 ,Años estudiados,.,8,NEG
27,factor(escolaridadh)9 ,Años estudiados,.,9,POS
27,factor(escolaridadh)10 ,Años estudiados,.,10,POS
27,factor(escolaridadh)11 ,Años estudiados,.,11,POS
27,factor(escolaridadh)12 ,Años estudiados,.,12,POS
27,factor(escolaridadh)13 ,Años estudiados,.,13,POS
27,factor(escolaridadh)14 ,Años estudiados,.,14,POS
27,factor(escolaridadh)15 ,Años estudiados,.,15,POS
27,factor(escolaridadh)16 ,Años estudiados,.,16,POS
27,factor(escolaridadh)17 ,Años estudiados,.,17,POS
27,factor(escolaridadh)18 ,Años estudiados,.,18,POS
27,factor(escolaridadh)19 ,Años estudiados,.,19,POS
27,factor(escolaridadh)20 ,Años estudiados,.,20,POS
27,factor(escolaridadh)21 ,Años estudiados,.,21,NEG
28,factor(escolaridadh)22 ,Años estudiados,.,22,POS
29,indigena ,Indígena,1,Habla una lengua,NEG
