objetivo,p05,p06,p09_1,p10_1,estatura,p21,p23,p24,p28,p38_11,p43,p38m_11,p43m,p60,p61,p64,p86,p87,p98,p122,p131,p132,p142,p143,p144,p151,region,escolaridadh,indigena,X4,probit_pred,count
8,50,1,1,1,189,87,25,5,7,66,2,65,2,5,1,23,50,7,16,4,1,2,24,3,26,7,1,18,0,9,10,1
4,51,1,5,4,180,83,30,5,3,71.321976,2,87,2,12,9,19,3,17,12,3,0,1,21,3,19,4,5,9,0,1,1,-3
2,29,1,4,4,164,70,32,5,3,64,2,58,2,8,5,15,48,3,15,3,1,1,28,1,29,6,2,9,0,1,1,-1
3,45,1,2,2,175,85,15,3,2,67,2,67,2,3,1,19,72,20,19,3,0,1,32,2,33,6,4,12,0,6,5,3
1,27,1,8,1,166,60,30,5,4,57,4,47,2,3,1,17,55,7,18,1,1,1,23,1,25,6,5,12,0,2,1,1
5,28,2,4,8,162,104,14,2,3,72,2,44,3,4,1,16,10,2,16,6,1,3,27,2.6724489,22.825521,7,3,9,0,8,9,3
1,39,1,5,4,150,65,30,5,4,70,2,62,2,11,2,12,48,13,12,3,0,1,20,2.6724489,22.825521,6,5,2,0,1,1,0
8,35,1,1,1,172,75,8,1,4,59,5,58,6,1,1,17,48,5,19,5,2,2,21.55405,2.6724489,22.825521,8,1,11,0,10,10,2
9,56,1,4,1,179,79,18,5,4,71.321976,2,67.737869,2,3,2,16,10,3,12,6,0,2,28,2,25,7,3,12,0,8,9,-1
3,28,1,6,8,170,65,14,1,3,75,2,66,2,17,15,16,45,0,15,2,0,1,22,2,23,3,3,9,0,3,1,0
7,52,1,7,1,163,65,14,3,4,79,2,71,2,9,2,16.588694,45,22,25,3,1,1,21.55405,2.6724489,22.825521,6,3,17,0,9,10,2
9,33,2,5,4,167,71,13,5,5,57,4,59,2,4,2,21,15,0,21,5,1,2,27,1,30,7,4,16,0,9,10,0
10,57,1,5,4,171,88,21,2,5,71.321976,2,67.737869,2,8,7,18,64,12,25,6,0,1,25,2,28,8,4,12,0,8,9,-2
9,33,1,7,1,174,93,14,1,5,57,4,53,4,3,1,19,40,13,19,3,1,1,28,2.6724489,22.825521,8,3,12,0,9,10,0
9,54,1,2,2,169,76,30,2,3,68,4,72,4,4,1,18,43,33,21,4,0,2,21,3,23,6,4,9,0,6,5,-3
9,36,1,5,4,170,78,11,2,3,70,2,65,2,3,3,21,8,12,23,3,1,1,24,2,26,9,4,18,0,9,10,0
4,45,1,7,4,160,60,15,3,4,80,4,72,2,5,3,16,63,17,18,2,0,1,22,1,32,9,4,9,0,4,1,0
4,25,1,5,4,158,90,4,4,3,61,11,47,98,5,3,12,150,4,12,1,0,1,16,2,16,6,5,6,0,3,1,-1
1,27,1,4,8,170,84,30,4,2,48,98,48,98,2,2,16,48,16,11,2,1,1,21,1,24,5,5,8,0,1,1,0
7,32,2,5,8,158,60,24,5,4,70,2,56,2,6,3,20,56,2,16,4,1,2,21,3,23,8,3,9,0,6,5,-1
2,60,1,5,4,156,69,32,5,3,97,2,82,2,8,8,10,40,7,12,2,0,1,32,3,36,6,2,2,0,1,1,-1
6,34,1,11,8,170,100,16,5,4,60,2,57,2,9,5,17,60,1,19,3,1,1,22,4,23,8,4,12,0,6,5,0
1,30,1,7,8,163,63,30,4,2,52,3,54,3,3,3,16,8,1,13,4,0,1,16,2,17,8,5,9,0,2,1,1
10,39,1,1,1,175,76,11,3,5,62,6,60,6,2,1,16.588694,10,4,30,5,1,1,26,1,27,8,4,14,0,10,10,0
3,36,1,1,1,175,80,28,4,2,70,2,67,2,4,1,16.588694,10,22,12,4,1,2,18,2.6724489,22.825521,6,1,6,0,6,5,3
4,53,1,10,7,174,94,15,5,3,79,2,71,2,6,3,15,56,2,16,4,0,1,18,3,19,5,4,9,0,6,5,2
6,55,2,5,4,163,86,28,3,4,97,2,97,2,8,7,12,25,19,16,4,0,1,26,2,27,7,1,6,0,6,5,0
1,36,2,4,4,150,60,30,5,3,60,98,50,2,5,2,12,70,2,34,5,0,2,19,3,20,6,5,9,1,1,1,0
3,25,2,4,4,162,55,7,2,2,60,2,55,6,2,2,22,48,0,23,3,1,3,21.55405,2.6724489,22.825521,8,5,15,0,6,5,3
6,44,2,8,8,168,90,1,2,7,71.321976,2,67.737869,2,5,2,13,40,2,40,4,0,1,22,2.6724489,22.825521,6,3,6,0,6,5,0
10,35,2,7,8,165,70,15,3,6,54,6,53,5,4,2,18,72,13,22,6,1,3,22,3,29,9,4,15,0,10,10,0
6,37,2,1,1,158,70,22,4,4,61,8,62,7,3,1,25,48,1,19,4,0,2,29,2,29,8,4,14,0,8,9,2
8,35,1,4,4,160,80,24,2,3,67,2,64,2,7,7,18,30,9,10,3,0,2,21.55405,2.6724489,22.825521,9,3,15,0,4,1,-4
4,53,1,9,8,187,95,30,1,3,90,2,84,2,17,5,21,30,11,17,3,1,1,23,1,25,8,5,14,0,2,1,-2
10,36,1,7,8,186,93,15,2,5,67,2,65,4,5,5,19,48,17,19,8,4,3,20,3,21,10,4,12,0,10,10,0
8,54,2,5,4,158,59,15,3,4,72,2,69,2,4,1,16,48,2,52,5,0,1,20,4,21,6,4,9,0,6,5,-2
7,40,2,8,8,150,58,15,2,3,65,4,60,2,4,2,14,35,1,39,5,0,2,19,4,19,9,4,9,0,6,5,-1
5,53,1,1,1,172,92,30,4,1,76,2,75,2,7,2,12,56,38,15,1,0,1,27,3,28,3,5,6,0,2,1,-3
9,26,1,1,1,176,114,9,4,6,57,2,52,6,2,2,16,48,4,23,4,1,1,19,3,19,8,4,9,0,9,10,0
6,33,1,1,1,174,86,30,5,4,58,2,61,2,9,5,18,48,17,16,6,1,2,21,4,22,8,1,14,0,6,5,0
7,54,1,4,4,165,85,10,5,5,87,2,80,2,6,5,26,25,27,27,7,2,3,30,5,33,9,2,17,0,10,10,3
10,41,1,7,8,170,85,28,3,4,78,11,76,11,2,2,25,40,4,18,4,2,1,32,2.6724489,22.825521,8,1,15,0,10,10,0
10,26,1,1,1,178,80,22,3,4,50,5,48,3,4,3,18,48,2,16,6,1,3,21.55405,2.6724489,22.825521,7,4,12,0,10,10,0
1,40,1,5,4,167,92,7,2,15,68,2,57,2,8,2,6,36,0,18,3,0,1,18,2.6724489,22.825521,8,5,6,0,1,1,0
4,46,1,7,8,170,70,20,1,4,78,11,67,7,3,2,21,48,22,21,6,0,2,21.55405,2.6724489,22.825521,6,5,11,0,6,5,2
9,47,1,5,4,169,65,16,4,9,81,2,82,2,9,6,21,65,30,17,7,1,2,21,2,30,6,3,15,0,9,10,0
9,25,2,1,1,165,60,14,3,3,39,4,39,6,2,1,21,56,2,17,9,5,5,21.55405,1,20,8,3,12,0,10,10,1
1,30,2,8,8,160,60,29,3,1,71.321976,2,67.737869,2,4,1,12,50,22,15,1,0,2,20,2.6724489,22.825521,8,4,6,0,1,1,0
10,34,1,1,1,175,80,14,5,4,63,2,60,2,6,2,24,48,0,15,3,1,1,27,1,29,8,3,15,0,8,9,-2
9,40,2,7,8,157,60,10,4,4,64,2,59,2,5,1,18,48,18,22,4,0,2,21.55405,2.6724489,22.825521,7,4,12,0,8,9,-1
1,37,1,4,4,165,75,14,2,4,57,2,61,2,10,2,15,60,6,15,2,0,2,21.55405,2.6724489,22.825521,4,3,6,0,1,1,0
5,35,1,5,4,170,70,14,5,4,72,2,63,2,11,8,11,48,2,16,4,0,1,21.55405,2.6724489,22.825521,6,3,6,0,2,1,-3
4,41,1,1,1,168,78,9,2,4,61,2,60,2,6,1,17,42,1,17,5,1,2,21,4,22,7,3,11,0,8,9,4
7,30,2,1,1,160,85,22,4,4,71.321976,98,52,7,4,3,17,50,8,19,4,0,2,17,2,18,7,4,9,0,6,5,-1
2,31,1,4,8,163,86,13,5,3,51,4,54,4,5,2,12,54,16,15,4,0,1,18,4,20,7,4,6,0,1,1,-1
5,28,1,1,1,180,73,22,3,3,48,2,52,2,5,2,19,77,1,15,1,0,2,25,1,27,7,4,12,0,6,5,1
3,29,1,8,8,175,80,5,3,3,71.321976,98,67.737869,11,5,3,14,48,10,14,5,1,1,18,3,23,7,1,9,0,6,5,3
8,35,2,1,1,158,61,15,3,5,55,6,54,4,3,2,15,15,4,18,5,1,2,24,2,26,7,4,9,0,9,10,1
9,51,1,7,6,167,66,9,4,5,72,2,70,2,3,1,16.588694,28,32,18,4,1,1,37,1,43,8,4,17,0,10,10,1
8,29,1,7,1,169,82,2,2,2,52,11,50,4,2,1,20,48,2,15,4,0,1,21.55405,2.6724489,22.825521,8,1,12,0,8,9,0
1,26,2,8,8,165,71,32,5,2,58,2,57,2,5,3,16.588694,48,0,26,2,0,2,22,2.6724489,22.825521,6,2,9,0,2,1,1
6,55,1,5,5,180,80,11,2,4,84,2,67.737869,2,11,3,18,8,14,18,6,1,2,25,4,20,9,4,6,0,6,5,0
6,35,2,5,4,165,75,9,2,5,58,2,59,4,3,1,16,60,1,16,4,0,4,20,3,22,4,4,9,0,6,5,0
9,25,1,1,1,170,78,11,3,5,56,2,54,4,2,2,12,10,7,18,5,1,1,21.55405,2.6724489,22.825521,8,4,6,0,8,9,-1
5,26,2,5,4,160,65,9,2,5,50,2,48,4,2,2,23,58,1,25,5,0,2,21.55405,2.6724489,22.825521,7,4,15,0,6,5,1
4,44,1,2,2,155,75,25,4,3,76,2,65,2,6,4,16,48,30,14,5,1,1,18,2,19,7,2,9,0,6,5,2
7,30,1,1,1,160,95,24,4,4,72,2,60,2,7,3,16.588694,40,12,25,4,1,1,25,2.6724489,22.825521,8,3,12,0,8,9,1
10,62,1,1,1,165,70,13,5,3,91,2,86,2,3,2,20,54,30,20,7,2,3,26,3,28,7,4,12,0,10,10,0
6,55,1,5,5,180,80,11,2,4,84,2,67.737869,2,11,3,18,8,14,18,6,1,2,25,4,20,9,4,6,0,6,5,0
6,64,2,1,1,160,65,14,5,3,97,2,91,2,19,7,13,60,3,60,4,0,3,24,5,26,7,3,5,0,6,5,0
9,47,1,7,8,175,77,5,2,3,71.321976,8,76,8,4,2,18,25,2,22,3,1,2,28,2,33,8,1,15,0,10,10,1
10,55,2,1,1,163,58,11,3,6,71.321976,4,67.737869,2,5,5,17,8,22,28,5,1,2,25,3,25,8,4,9,0,10,10,0
2,25,2,5,4,165,85,7,4,3,53,6,53,2,2,2,21,40,19,15,3,1,1,20,1,17,7,5,9,0,6,5,4
8,40,2,1,1,165,73,28,3,2,71,2,64,2,9,4,18,40,10,18,6,0,2,25,1,32,8,1,15,0,9,10,1
10,28,1,1,1,172,80,15,2,5,56,4,50,4,3,2,23,52,4,24,5,2,4,21.55405,2.6724489,22.825521,8,4,17,0,10,10,0
7,26,1,1,1,166,75,26,4,4,62,4,60,2,4,4,18,56,18,18,4,0,1,20,2,24,6,1,9,0,4,1,-3
8,60,1,7,8,175,82,14,5,6,82,2,71,2,8,2,15,48,20,14,5,1,1,18,2,19,8,3,7,0,6,5,-2
8,37,1,8,8,172,90,28,2,2,64,4,62,2,3,1,19,50,0,13,5,1,3,28,2.6724489,22.825521,7,1,9,0,6,5,-2
9,44,2,5,4,163,70,14,2,4,79,2,67,2,5,2,15,48,10,18,3,1,2,23,2,20,8,3,9,0,6,5,-3
8,25,1,1,1,180,76,15,1,7,51,4,49,6,4,3,16.588694,36,0,14,10,1,3,21.55405,2.6724489,22.825521,8,4,14,0,10,10,2
6,37,2,8,8,158,87,9,4,3,59,2,58,2,4,1,22,20,15,22,3,0,2,22,1,23,8,4,17,0,6,5,0
10,25,2,1,1,160,58,9,2,2,58,6,50,6,4,3,18,48,0,18,6,1,2,21.55405,2.6724489,22.825521,8,4,12,0,10,10,0
9,56,2,2,2,160,58,24,3,4,71.321976,2,95,2,7,6,19,5,36,20,6,3,2,30,3,32,8,4,13,0,10,10,1
1,38,1,4,4,165,75,13,5,2,60,2,58,2,5,2,17,60,22,17,3,0,1,21,2,23,6,4,9,1,1,1,0
7,42,1,7,8,169,76,21,1,4,65,2,60,2,5,1,25,40,21,17,5,1,1,28,1,32,8,4,17,0,9,10,2
10,25,2,1,1,163,48,2,3,5,63,6,56,4,2,1,24,48,3,22,6,2,2,21.55405,2.6724489,22.825521,10,1,15,0,10,10,0
5,56,2,8,8,160,70,11,2,6,71.321976,11,72,2,8,1,24,4,2,14,4,0,2,21.55405,1,32,6,4,18,0,9,10,4
5,25,1,4,4,175,70,30,4,3,60,2,55,2,4,4,17,48,2,10,6,0,1,21.55405,2.6724489,22.825521,6,5,12,0,2,1,-3
6,26,2,1,1,160,58,30,5,4,56,4,56,2,3,3,23,48,1,20,4,0,2,21.55405,1,22,7,5,16,0,6,5,0
7,41,2,1,1,150,92,28,3,5,72,2,71,2,7,7,12,40,2,18,3,1,2,19,4,21,7,1,9,0,6,5,-1
5,42,1,1,1,172,70,8,2,3,74,2,74,4,3,3,15,40,4,19,5,0,2,21.55405,2.6724489,22.825521,6,1,9,0,6,5,1
5,64,2,4,4,160,71,20,5,5,71.321976,98,67.737869,2,12,9,10,80,49,18,6,1,1,16,5,17,8,5,6,0,2,1,-3
2,31,1,5,8,170,90,30,5,1,60,2,65,2,5,4,12,8,10,15,3,0,1,17,2.6724489,22.825521,8,5,3,0,1,1,-1
8,30,1,7,1,178,60,9,3,7,55,10,50,10,4,1,26,45,11,14,4,3,2,22,1,28,7,4,15,0,10,10,2
9,26,1,1,1,172,85,13,5,4,71.321976,11,47,8,1,1,21,48,6,21,5,1,2,21.55405,2.6724489,22.825521,6,4,11,0,10,10,1
3,35,1,4,4,167,70,27,4,1,66,2,61,2,3,2,18,35,17,16,4,0,2,28,1,31,7,5,12,0,3,1,0
5,25,1,4,4,175,70,30,4,3,60,2,55,2,4,4,17,48,2,10,6,0,1,21.55405,2.6724489,22.825521,6,5,12,0,2,1,-3
3,45,2,5,4,155,80,10,4,3,79,2,70,2,7,1,12,60,10,19,5,0,1,21.55405,4,23,6,1,6,0,6,5,3
7,26,1,1,1,170,76,9,1,5,57,4,52,4,3,3,15,96,2,20,5,0,1,20,1,22,7,4,9,0,8,9,1
7,25,2,7,8,160,75,23,3,4,71.321976,2,49,4,3,1,21,38,3,21,1,0,2,23,2.6724489,22.825521,8,5,15,1,4,1,-3
8,27,2,1,1,160,59,8,2,5,50,6,47,2,4,1,25,50,3,15,4,1,1,21.55405,1,24,8,1,16,0,9,10,1
5,27,1,5,8,170,82,14,4,4,68,2,67,2,3,2,12,40,7,14,5,1,1,17,3,18,9,3,6,0,6,5,1
6,35,1,5,4,160,85,9,3,2,61,2,70,4,2,2,22,48,7,20,5,1,1,24,2,24,6,4,11,0,9,10,3
5,25,1,1,1,162,60,14,3,3,42,2,47,6,3,1,18,56,7,18,3,1,1,19,2,19,6,3,10,0,6,5,1
10,59,1,7,8,170,70,18,4,4,94,2,89,2,9,7,26,50,32,26,5,1,1,29,2,32,8,4,17,0,10,10,0
10,48,1,2,2,180,98,8,3,6,68,9,65,4,3,1,22,40,25,22,6,2,2,28,2,23,8,1,16,0,10,10,0
10,28,2,1,1,170,65,22,5,4,56,6,54,6,5,3,19,40,1,18,3,0,4,25,2.6724489,22.825521,8,4,12,1,9,10,-1
6,34,1,11,8,170,100,16,5,4,60,2,57,2,9,5,17,60,1,19,3,1,1,22,4,23,8,4,12,0,6,5,0
1,25,1,4,4,168,66,20,4,2,54,5,52,5,2,1,22,40,3,23,3,0,2,21.55405,2.6724489,22.825521,8,5,12,0,1,1,0
10,37,2,1,1,162,66,27,5,5,70,2,50,2,4,2,22,48,7,20,5,1,1,21.55405,2,30,7,5,16,1,9,10,-1
10,30,2,7,8,165,60,15,2,8,58,11,56,11,2,1,22,40,6,24,8,3,3,21.55405,2.6724489,22.825521,9,4,16,0,10,10,0
6,38,2,1,1,150,72,14,2,3,65,2,65,2,5,3,20,5,0,15,4,0,1,25,3,25,5,3,12,0,6,5,0
10,47,1,7,8,170,75,28,3,3,69,5,65,2,5,2,19,56,10,35,5,1,2,21.55405,2.6724489,22.825521,8,1,15,0,9,10,-1
3,35,1,5,4,168,70,13,4,4,57,4,57,4,2,1,18,56,0,14,5,1,1,21.55405,2.6724489,22.825521,8,4,12,0,6,5,3
5,28,2,4,8,162,104,14,2,3,72,2,44,3,4,1,16,10,2,16,6,1,3,27,2.6724489,22.825521,7,3,9,0,8,9,3
8,25,1,1,1,180,76,15,1,7,51,4,49,6,4,3,16.588694,36,0,14,10,1,3,21.55405,2.6724489,22.825521,8,4,14,0,10,10,2
10,45,2,1,1,166,73,8,3,5,65,6,63,6,3,2,18,48,5,22,5,2,2,26,2,27,8,1,15,1,10,10,0
6,61,1,7,2,154,98,21,5,3,94,2,97,2,7,6,18,48,52,10,4,1,2,23,2.6724489,22.825521,7,4,9,0,9,10,3
3,44,2,5,5,165,65,9,2,2,62,3,68,2,4,1,19,48,0,19,1,0,1,22,2,23,8,5,12,0,1,1,-2
3,27,2,4,4,150,63,30,5,3,56,2,54,2,4,3,19,9,3,14,4,1,2,19,2,20,8,5,12,1,2,1,-1
10,35,2,7,8,165,70,15,3,6,54,6,53,5,4,2,18,72,13,22,6,1,3,22,3,29,9,4,15,0,10,10,0
6,38,2,5,4,160,70,25,3,6,67,2,63,2,4,3,18,20,3,15,5,0,2,19,3,20,8,1,12,0,6,5,0
3,29,1,7,8,190,90,22,5,2,56,2,53,2,7,2,12,60,8,15,4,0,2,21.55405,2.6724489,22.825521,10,4,6,0,6,5,3
1,60,2,6,8,150,50,15,5,2,70,2,68,2,3,3,6,30,3,15,3,0,2,20,3,22,7,4,0,0,2,1,1
9,27,2,7,8,162,55,9,3,6,55,8,49,6,3,3,19,35,3,24,4,1,2,25,2.6724489,22.825521,7,4,16,0,10,10,1
2,36,2,5,4,160,62,15,3,2,65,2,58,2,8,2,16.588694,16,0,17,2,0,1,25,2.6724489,22.825521,7,4,8,0,1,1,-1
2,56,2,5,4,153,64,9,3,3,75,2,65,4,7,1,16.588694,25,1,14,4,0,2,12,4,13,10,4,7,0,4,1,2
10,25,2,1,1,172,58,9,2,3,50,11,48,8,3,2,16.588694,18,1,23,3,2,2,21,1,21,10,4,17,0,10,10,0
8,34,1,7,8,170,85,25,4,3,54,2,54,2,3,1,23,48,0,14,3,0,2,25,1,26,6,2,16,0,6,5,-2
9,28,2,1,1,158,62,30,5,4,62,6,50,11,3,1,25,20,5,23,5,0,3,24,1,24,5,5,16,0,9,10,0
4,43,1,4,8,176,70,15,2,10,69,11,60,6,9,4,16,50,27,13,4,0,1,19,2.6724489,22.825521,7,4,6,0,6,5,2
7,54,2,1,1,160,54,14,5,3,96,2,89,2,12,3,12,6,4,15,4,1,2,22,3,28,7,3,6,0,6,5,-1
4,25,1,1,1,178,80,14,2,8,59,2,57,4,6,3,19,42,1,25,4,1,2,23,2.6724489,22.825521,7,3,17,0,9,10,5
5,38,1,5,4,168,83,30,4,3,53,2,51,2,4,1,16,48,19,18,4,0,3,22,2,25,4,5,9,0,2,1,-3
6,35,2,1,1,162,76,15,3,7,57,6,55,12,3,1,24,18,13,20,7,0,2,25,2,25,7,4,18,0,9,10,3
5,46,1,1,1,173,72,14,5,3,71.321976,2,67.737869,2,8,5,16.588694,48,28,18,3,1,1,21.55405,2,41,7,3,10,0,6,5,1
1,39,1,5,4,150,65,30,5,4,70,2,62,2,11,2,12,48,13,12,3,0,1,20,2.6724489,22.825521,6,5,2,0,1,1,0
8,37,1,1,1,165,72,19,3,1,58,4,56,4,3,1,20,48,5,18,4,1,1,25,2,31,8,1,14,0,8,9,0
10,32,1,1,1,175,80,9,3,4,55,4,50,4,4,1,19,48,5,19,4,1,2,19,4,19,7,4,12,0,9,10,-1
8,28,1,7,5,172,63,9,1,5,71.321976,7,67.737869,2,2,2,18,45,17,20,6,0,2,25,2.6724489,22.825521,10,4,14,0,6,5,-2
5,41,1,1,1,170,88,28,4,6,67,12,72,2,3,1,22,45,5,20,6,0,1,28,2,29,8,1,18,1,10,10,5
3,27,1,11,8,170,80,9,2,4,50,5,47,4,2,1,15,42,1,18,4,0,1,26,2.6724489,22.825521,6,4,10,0,2,1,-1
4,39,1,8,8,165,58,5,3,5,75,2,72,2,3,2,15,48,20,15,5,0,2,16,4,18,8,1,9,0,6,5,2
4,40,1,8,8,165,56,13,4,5,75,2,69,2,9,5,25,40,12,16,4,0,3,37,1,37,8,4,12,0,6,5,2
10,39,1,7,1,173,72,16,4,5,65,11,61,11,2,2,25,42,7,20,5,2,2,24,2,24,8,3,17,0,10,10,0
9,33,1,7,6,181,83,14,3,4,71.321976,6,65,6,2,2,24,30,17,18,3,1,2,29,1,29,7,3,18,0,10,10,1
6,56,1,9,8,171,70,1,4,8,97,2,95,2,15,13,25,70,27,7,5,0,3,25,2,26,8,3,17,0,6,5,0
6,26,1,1,1,170,80,21,3,5,46,2,47,4,2,1,16.588694,48,3,18,6,0,3,24,2,24,8,4,21,0,6,5,0
5,35,2,5,8,152,68,14,3,3,58,4,58,4,7,4,15,4,0,22,3,1,1,16,3,16,7,3,9,0,6,5,1
7,61,2,1,1,160,69,9,3,1,71.321976,2,67.737869,2,2,1,14,25,17,14,3,0,2,20,2,23,8,4,6,0,6,5,-1
10,52,2,8,8,147,58,30,3,5,79,4,72,4,3,1,23,9,3,25,4,1,2,26,1,36,8,4,17,0,9,10,-1
4,30,1,7,8,170,75,20,5,5,73,2,70,10,6,5,27,50,4,16,5,1,5,21.55405,2.6724489,22.825521,8,5,17,0,8,9,4
10,28,1,1,1,177,85,9,1,8,50,12,52,8,2,1,26,50,5,18,10,1,3,21.55405,2.6724489,22.825521,8,4,16,0,10,10,0
9,34,1,1,1,168,72,2,4,5,56,4,67.737869,4,3,2,18,48,2,18,6,2,3,18,2,19,5,1,9,0,10,10,1
4,25,1,1,1,170,81,30,2,3,76,4,71,4,2,2,18,48,2,18,1,0,1,21.55405,2.6724489,22.825521,10,5,12,0,4,1,0
10,28,1,1,1,178,90,5,1,6,60,98,58,98,2,1,21,48,2,17,6,1,1,21.55405,2.6724489,22.825521,8,1,17,0,10,10,0
10,36,1,2,2,164,78,13,4,9,60,2,59,7,4,3,23,20,13,15,6,1,2,23,2,25,8,4,16,0,9,10,-1
9,25,2,1,1,159,61,15,1,5,60,6,60,6,3,3,23,40,4,17,5,1,3,21.55405,2.6724489,22.825521,8,4,17,0,10,10,1
6,34,2,1,1,152,70,15,5,5,60,2,55,6,2,1,16,40,0,25,4,0,2,16,2,16,6,4,9,0,6,5,0
7,29,1,1,6,158,60,26,4,2,52,3,47,5,4,2,18,48,12,15,5,0,1,24,1,24,9,1,12,0,8,9,1
4,35,1,4,1,165,75,21,4,2,70,2,64,2,4,1,18,56,7,18,4,0,2,18,4,19,4,4,12,0,6,5,2
2,48,1,5,4,165,70,17,4,2,71.321976,2,80,2,7,7,14,70,31,20,3,0,1,28,1,28,7,4,9,1,2,1,0
8,26,2,1,1,164,68,9,1,5,53,4,49,6,3,2,18,45,6,20,5,0,1,18,1,19,7,4,12,0,9,10,1
9,28,1,1,1,173,70,25,4,6,52,4,50,8,4,2,25,48,2,25,4,2,1,21.55405,2.6724489,22.825521,8,2,16,0,10,10,1
9,29,2,1,1,169,62,30,5,4,59,2,58,2,3,3,26,25,9,20,4,0,1,21.55405,2.6724489,22.825521,7,5,17,0,6,5,-3
3,26,1,1,8,170,75,25,4,3,46,2,43,2,2,1,18,45,2,25,3,0,2,25,2.6724489,22.825521,8,2,12,0,2,1,-1
3,47,2,1,1,152,53,24,2,5,71.321976,11,67.737869,11,6,3,20,48,12,15,4,0,2,18,3,20,10,3,14,0,8,9,5
9,31,1,8,1,170,68,16,4,2,61,2,61,3,2,1,18,50,12,17,4,0,1,21,1,23,7,3,12,0,8,9,-1
